t_s,scene_main.in,lfo_a.out,lfo_b.out
3.220000,-0.823232,0.692922,1.028680
3.230000,-0.342942,0.690053,1.027840
3.240000,0.055186,0.687172,1.027000
3.250000,-0.059434,0.684278,1.026160
3.260000,-0.202475,0.681372,1.025320
3.270000,-0.193006,0.678454,1.024480
3.280000,-0.454877,0.675524,1.023640
3.290000,-0.458205,0.672582,1.022800
3.300000,-0.000616,0.669629,1.021960
3.310000,0.169702,0.666665,1.021120
3.320000,0.736853,0.663689,1.020280
3.330000,1.067287,0.660702,1.019440
3.340000,0.805394,0.657705,1.018600
3.350000,0.455642,0.654697,1.017760
3.360000,-0.049690,0.651679,1.016920
3.370000,-0.470803,0.648651,1.016080
3.380000,-1.356054,0.645613,1.015240
3.390000,-1.137954,0.642565,1.014400
3.400000,-0.922622,0.639507,1.013560
3.410000,-0.708954,0.636441,1.012720
3.420000,-0.605653,0.633365,1.011880
3.430000,0.545425,0.630280,1.011040
3.440000,1.039268,0.627187,1.010200
3.450000,0.563099,0.624085,1.009360
3.460000,0.780011,0.620975,1.008520
3.470000,1.021114,0.617856,1.007680
3.480000,0.252396,0.614730,1.006840
3.490000,-0.652759,0.611596,1.006000
3.500000,-0.063089,0.608455,1.005160
3.510000,-0.343073,0.605307,1.004320
3.520000,-0.795201,0.602151,1.003480
3.530000,-0.375105,0.598989,1.002640
3.540000,0.173672,0.595820,1.001800
3.550000,-0.498813,0.592645,1.000960
3.560000,-0.468471,0.589463,1.000120
3.570000,-0.342493,0.586276,0.999280
3.580000,-0.468974,0.583083,0.998440
3.590000,-0.730623,0.579884,0.997600
3.600000,0.199755,0.576680,0.996760
3.610000,0.860866,0.573471,0.995920
3.620000,0.735483,0.570257,0.995080
3.630000,0.675271,0.567038,0.994240
3.640000,1.381608,0.563815,0.993400
3.650000,0.276669,0.560587,0.992560
3.660000,-0.213625,0.557356,0.991720
3.670000,-0.632937,0.554120,0.990880
3.680000,-0.583831,0.550881,0.990040
3.690000,-1.521170,0.547639,0.989200
3.700000,-1.121890,0.544393,0.988360
3.710000,-1.100424,0.541145,0.987520
3.720000,-0.439982,0.537894,0.986680
3.730000,-0.080157,0.534640,0.985840
3.740000,0.834708,0.531384,0.985000
3.750000,0.824572,0.528125,0.984160
3.760000,1.179187,0.524865,0.983320
3.770000,0.647046,0.521604,0.982480
3.780000,0.070357,0.518340,0.981640
3.790000,-0.349961,0.515076,0.980800
3.800000,-0.147709,0.511811,0.979960
3.810000,-0.392455,0.508544,0.979120
3.820000,-0.247028,0.505278,0.978280
3.830000,-0.155979,0.502011,0.977440
3.840000,-0.038784,0.498743,0.976600
3.850000,-0.617619,0.495476,0.975760
3.860000,-0.579832,0.492209,0.974920
3.870000,-0.578199,0.488943,0.974080
3.880000,-0.617858,0.485677,0.973240
3.890000,-0.163447,0.482413,0.972400
3.900000,0.468005,0.479149,0.971560
3.910000,0.223954,0.475887,0.970720
3.920000,0.142200,0.472627,0.969880
3.930000,0.890272,0.469368,0.969040
3.940000,1.046997,0.466111,0.968200
3.950000,0.317392,0.462857,0.967360
3.960000,0.184516,0.459605,0.966520
3.970000,0.264915,0.456356,0.965680
3.980000,-0.838844,0.453110,0.964840
3.990000,-1.827778,0.449867,0.964000
4.000000,-1.344148,0.446627,0.963160
4.010000,-0.739108,0.443391,0.962320
4.020000,-0.851188,0.440158,0.961480
4.030000,0.273191,0.436930,0.960640
4.040000,1.113243,0.433706,0.959800
4.050000,0.913732,0.430486,0.958960
4.060000,0.401113,0.427271,0.958120
4.070000,0.755044,0.424060,0.957280
4.080000,0.141951,0.420855,0.956440
4.090000,-0.003153,0.417655,0.955600
4.100000,-0.007456,0.414460,0.954760
4.110000,0.013378,0.411272,0.953920
